,Total,"Car, truck, or van -- drove alone","Car, truck, or van -- carpooled",Public transportation (excluding taxicab)
Workers 16 years and over,152802672,116736603,13604253,7637296
16 to 19 years,5348094,3502098,829859,213844
20 to 24 years,14516254,10623031,1605302,840103
25 to 44 years,66316360,50430212,6257956,3826285
45 to 54 years,32241364,25215106,2652829,1382351
55 to 59 years,14821859,11790397,1061132,610984
60 years and over,19558742,15175758,1210779,763730
Median age (years),42,42,38,38
Male,80832613,61870400,7169441,3811011
Female,71970059,54866203,6434812,3826285
One race,148982605,114051661,13182521,7385265
White,113073977,88953291,9142058,3788099
Black or African American,17877913,12957763,1618906,1802402
American Indian and Alaska Native,1069619,700420,136043,45824
Asian,9168160,6070303,1115549,977574
Native Hawaiian and Other Pacific Islander,305605,233473,40813,15275
Some other race,7640134,5136411,1115549,756092
Two or more races,3820067,2684942,421732,252031
Hispanic or Latino origin (of any race),26129257,18677856,3509897,1741303
"White alone, not Hispanic or Latino",96112881,76345738,6951773,2963271
Native,126673415,99109376,10162377,5155175
Foreign born,26129257,17627227,3441876,2482121
Naturalized U.S. citizen,13141030,9455665,1346821,1145594
Not a U.S. citizen,12988227,8171562,2095055,1336527
Speak language other than English,34074996,23580794,4475799,2833437
"Speak English ""very well""",20781163,15059022,2231097,1619107
"Speak English less than ""very well""",13293832,8521772,2244702,1214330
Workers 16 years and over with earnings,152781242,116725288,13601707,7637012
"$1 to $9,999 or loss",18028187,11905979,2257883,985175
"$10,000 to $14,999",10541906,7470418,1183349,549865
"$15,000 to $24,999",22153280,16341540,2502714,1160826
"$25,000 to $34,999",21083811,16691716,2013053,893530
"$35,000 to $49,999",24597780,19960024,2040256,924078
"$50,000 to $64,999",18639312,15174287,1360171,778975
"$65,000 to $74,999",7944625,6419891,530467,374214
"$75,000 or more",29792342,22761431,1713815,1962712
Median earnings (dollars),36903,38689,28835,37530
Workers 16 years and over,152802672,116736603,13604253,7637296
"Management, business, science, and arts occupations",58217818,44476646,4026859,3245851
Service occupations,27046073,19728486,2856893,1748941
Sales and office occupations,34991812,27082892,2843289,1703117
"Natural resources, construction, and maintenance occupations",13599438,10389558,1836574,343678
"Production, transportation, and material moving occupations",18489123,14708812,1999825,588072
Military specific occupations,458408,35020981,40813,7637
Private wage and salary workers,122089335,94089702,10965028,6369505
Government workers,21392374,17160281,1782157,1000486
Self-employed workers in own not incorporated business,9015358,5369884,829859,252031
Unpaid family workers,305605,116737,40813,7637
Worked in state of residence,147148973,112650822,13087291,6896478
Worked in county of residence,110476332,82416042,9781458,4315072
Worked outside county of residence,36672641,30234780,3319438,2581406
Worked outside state of residence,5653699,4085781,516962,740818
Workers 16 years and over who did not work at home,144808353,116736603,13604253,7637296
12:00 a.m. to 4:59 a.m.,7095609,5720094,775442,252031
5:00 a.m. to 5:29 a.m.,5792334,4669464,653004,274943
5:30 a.m. to 5:59 a.m.,7240418,5953567,761838,313129
6:00 a.m. to 6:29 a.m.,13032752,10623031,1306008,679719
6:30 a.m. to 6:59 a.m.,14191219,11790397,1387634,633896
7:00 a.m. to 7:29 a.m.,21286828,17393754,2040638,1160869
7:30 a.m. to 7:59 a.m.,17666619,14708812,1469259,817191
8:00 a.m. to 8:29 a.m.,15784110,12607553,1224383,1137957
8:30 a.m. to 8:59 a.m.,7819651,6187040,584983,481150
9:00 a.m. to 11:59 p.m.,35043621,27082892,3414668,1878775
Less than 10 minutes,17666619,13774919,1550885,84010
10 to 14 minutes,19259511,15992915,1809366,168021
15 to 19 minutes,21866061,18444383,2054242,313129
20 to 24 minutes,20852403,17743964,1877387,504062
25 to 29 minutes,9412543,8054826,802651,274943
30 to 34 minutes,19983553,16343124,1931804,1176144
35 to 44 minutes,10136585,8288299,925089,786641
45 to 59 minutes,12019093,9338928,1183570,1344164
60 or more minutes,13467177,8638509,1482864,2978545
Mean travel time to work (minutes),27,26,28,50
Workers 16 years and over in households,151339299,116355953,13491862,7530977
No vehicle available,6356251,1279915,701577,2643373
1 vehicle available,30721878,21874919,3022177,2319541
2 vehicles available,61292416,49567636,5086432,1641753
3 or more vehicles available,52817415,43633482,4681676,926310
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
