,United States,,,
,Total,"Car, truck, or van -- drove alone","Car, truck, or van -- carpooled",Public transportation (excluding taxicab)
Workers 16 years and over,154314179,104650121,12018354,3793329
16 to 19 years,5863939,3767404,949450,113800
20 to 24 years,14042590,9732461,1478258,402093
25 to 44 years,67898239,44999552,5360186,1771485
45 to 54 years,30862836,21034674,2223395,690386
55 to 59 years,14505533,10151062,877340,337606
60 years and over,21295357,14964967,1129725,481753
Median age (years),42,42,38,40
Male,81786515,56825016,6165416,1892871
Female,72527664,47825105,5852938,1900458
One race,136568048,92720007,10119454,3269850
White,97217933,68022579,6045232,1213865
Black or African American,17128874,11406863,1346056,978679
American Indian and Alaska Native,1388828,941851,180275,41727
Asian,9567479,5127856,937432,436233
Native Hawaiian and Other Pacific Islander,308628,209300,36055,11380
Some other race,10956307,7116208,1562386,591759
Two or more races,17746131,11930114,1898900,523479
Hispanic or Latino origin (of any race),27930866,18627722,3605506,1096272
"White alone, not Hispanic or Latino",92742822,64987725,5528443,1119032
Native,128080769,88743303,8893582,2382211
Foreign born,26233410,15906818,3124772,1411118
Naturalized U.S. citizen,13888276,8790610,1285964,637279
Not a U.S. citizen,12345134,7011558,1838808,773839
Speak language other than English,34720690,21871875,4206424,1581818
"Speak English ""very well""",21912613,13709166,2103212,826946
"Speak English less than ""very well""",12962391,8162709,2103212,751079
"$10,000 to $14,999",8486116,5755180,913199,273107
"$15,000 to $24,999",16972231,11824278,1826397,542422
"$25,000 to $34,999",19440919,14230990,1886476,519663
"$35,000 to $49,999",24532589,18102656,1958571,534835
"$50,000 to $64,999",20366677,14649548,1309719,390695
"$65,000 to $74,999",9103288,6278378,516678,166899
"$75,000 or more",38881839,23125358,1586082,804149
Median earnings (dollars),42762,41723,375180464928,132961567374
Workers 16 years and over,154314179,104650121,12018354,3793329
"Management, business, science, and arts occupations",65120584,39871696,3521378,1373185
Service occupations,24535954,17581220,2571928,1027992
Sales and office occupations,30708522,20825374,2247432,747286
"Natural resources, construction, and maintenance occupations",13271019,10151062,1598441,216220
"Production, transportation, and material moving occupations",20060843,15697518,2031102,424853
Military specific occupations,617257,418600,36055,7587
Private wage and salary workers,121290945,82254995,9482481,3118116
Government workers,23610069,17057970,1706606,523479
Self-employed workers in own not incorporated business,9104537,5232506,781193,144147
Unpaid family workers,308628,104650,36055,3793
Worked in state of residence,149839068,101092017,11633767,3505036
Worked in county of residence,118050347,73882985,8869545,2287377
Worked outside county of residence,31788721,27209031,2764221,1217659
Worked outside state of residence,4475111,3558104,384587,288293
Workers 16 years and over who did not work from home,126746081,104650121,12018354,3793329
12:00 a.m. to 4:59 a.m.,7097781,5860407,697065,166906
5:00 a.m. to 5:29 a.m.,5196589,4395305,528808,136560
5:30 a.m. to 5:59 a.m.,6210558,5337156,600918,140353
6:00 a.m. to 6:29 a.m.,11153655,9418511,1105689,333813
6:30 a.m. to 6:59 a.m.,11914132,10151062,1117707,261740
7:00 a.m. to 7:29 a.m.,17997944,15174268,1706606,557619
7:30 a.m. to 7:59 a.m.,14956038,12871965,1237890,322433
8:00 a.m. to 8:29 a.m.,14322307,11825464,1153762,568999
8:30 a.m. to 8:59 a.m.,6464050,5337156,540826,189666
9:00 a.m. to 11:59 p.m.,31179536,24383478,3329084,1115239
Less than 10 minutes,16730483,12871965,1502294,72073
10 to 14 minutes,17237467,14441717,1706606,94833
15 to 19 minutes,19899135,16953320,1910918,178286
20 to 24 minutes,18631674,16011469,1706606,269326
25 to 29 minutes,8745480,7639459,745138,136560
30 to 34 minutes,17364213,14546367,1682570,606933
35 to 44 minutes,8745480,7430159,793211,383126
45 to 59 minutes,9632702,7848759,901377,663833
60 or more minutes,9759448,7011558,1069634,1388358
Mean travel time to work (minutes),26,25,26,49
Workers 16 years and over in households,152891752,104249513,11921065,3728343
No vehicle available,6268562,1563743,596053,1554719
1 vehicle available,31495701,19703158,2455739,1137145
2 vehicles available,61768268,43263548,4363110,641275
3 or more vehicles available,53359221,39719064,4506163,395204
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
